No.	NAME	nCIC	nCIR	TRS	Rperim	Rbrid	MCD	RFD	RCI	NRS	NNRS	nSpiro	nBridgeHead	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	nBnz	ARR	AP	D/Dtr03	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr07	D/Dtr08	D/Dtr09	D/Dtr10	D/Dtr11	D/Dtr12
1	Molecule1	12	21	66	54	6	0.742857142857143	0.230769230769231	1.26923076923077	4	0.333333333333333	1	0	0	0	6	6	0	3	3	0	0	3	6	0.444444444444444	0.514285714285714	0	0	581.310745040596	868.543376157661	0	473.990482444539	560.254586079655	0	0	749.932802825537
2	Molecule2	5	21	15	5	5	0.4	1.66666666666667	2.5	1	0.2	1	0	5	5	6	5	0	0	0	0	0	0	0	0	0	89.2380952380953	117.190476190476	173.095238095238	173.095238095238	0	0	0	0	0	0
3	Molecule3	9	18	51	39	6	0.925	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	0	0	0	0	0	133.946878647444	367.032852029292	0	0	530.613496910502	0	0	0
4	Molecule4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Molecule5	9	18	51	39	6	0.86046511627907	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	3	0.352941176470588	0.418604651162791	0	0	145.827647878213	400.709011956321	0	0	578.939656837532	0	0	0
6	Molecule6	5	14	22	14	4	0.875	0.571428571428571	1.57142857142857	1	0.2	1	0	2	0	2	5	2	1	2	0	0	0	0	0	0	24.9659007659008	0	43.8738261738262	137.163203463203	58.6397269397269	33.6738261738262	77.5476523476523	0	0	0
7	Molecule7	11	43	34	14	10	0.538461538461538	1.42857142857143	2.42857142857143	1	0.0909090909090909	2	0	10	11	12	10	0	0	0	0	0	0	0	0	0	298.128205128205	431.263736263736	580.677655677656	580.677655677656	0	0	0	0	0	0
8	Molecule8	5	21	15	5	5	0.4	1.66666666666667	2.5	1	0.2	1	0	5	5	6	5	0	0	0	0	0	0	0	0	0	90.1904761904762	118.619047619048	175.47619047619	175.47619047619	0	0	0	0	0	0
9	Molecule9	12	21	69	57	6	0.948275862068966	0.218181818181818	1.25454545454545	4	0.333333333333333	1	0	0	0	3	9	0	0	6	0	0	0	3	0.260869565217391	0.310344827586207	0	0	226.820816188941	984.381765159983	0	0	878.49780715112	0	0	0
10	Molecule10	9	18	51	39	6	1	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	3	0.4	0.486486486486487	0	0	119.474546631634	328.72617826827	0	0	474.561763860943	0	0	0
11	Molecule11	12	30	66	48	9	1	0.391304347826087	1.43478260869565	1	0.0833333333333333	1	0	0	0	6	6	0	3	6	0	0	6	3	0.526315789473684	0.58695652173913	0	0	259.572118750289	376.040037067538	0	210.244309704604	531.066092193138	0	0	691.982592852057
12	Molecule12	5	21	15	5	5	0.545454545454545	1.66666666666667	2.5	1	0.2	1	0	5	5	6	5	0	0	0	0	0	0	0	0	0	54	74.3333333333333	115	115	0	0	0	0	0	0
13	Molecule13	12	136	68	44	12	0.875	0.489795918367347	1.38775510204082	5	0.416666666666667	1	0	0	0	4	8	0	0	8	4	4	4	4	0.432835820895522	0.517857142857143	0	0	229.427557271951	686.383591547486	0	0	847.711381849781	469.345080101693	531.572981025246	569.683420022642
14	Molecule14	7	13	40	32	4	0.833333333333333	0.266666666666667	1.33333333333333	1	0.142857142857143	1	0	0	0	2	5	0	0	4	0	0	0	2	0.285714285714286	0.333333333333333	0	0	88.6956546840784	309.579711754795	0	0	347.297001503156	0	0	0
15	Molecule15	9	18	51	39	6	0.86046511627907	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	3	0.352941176470588	0.418604651162791	0	0	145.827647878213	400.709011956321	0	0	578.939656837532	0	0	0
16	Molecule16	6	6	36	36	0	0.857142857142857	0	1	6	1	0	0	0	0	0	6	0	0	0	0	0	0	6	0.765957446808511	0.857142857142857	0	0	0	926.56963036963	0	0	0	0	0	0
17	Molecule17	9	21	52	40	6	0.863636363636364	0.315789473684211	1.36842105263158	1	0.111111111111111	1	0	0	0	2	7	0	0	4	2	0	0	2	0.230769230769231	0.272727272727273	0	0	88.3894243436675	444.662891298835	0	0	342.5457005572	210.661846989143	0	0
18	Molecule18	7	16	34	26	4	0.931034482758621	0.296296296296296	1.25925925925926	4	0.571428571428571	1	0	2	0	2	7	2	1	2	0	0	0	3	0.514285714285714	0.620689655172414	65.6495726495726	0	107.363492063492	510.118548118548	140.870207570208	75.2206349206349	182.584126984127	0	0	0
19	Molecule19	6	6	36	36	0	0.857142857142857	0	1	6	1	0	0	0	0	0	6	0	0	0	0	0	0	6	0.765957446808511	0.857142857142857	0	0	0	926.56963036963	0	0	0	0	0	0
20	Molecule20	11	43	34	14	10	0.538461538461538	1.42857142857143	2.42857142857143	1	0.0909090909090909	2	0	10	11	12	10	0	0	0	0	0	0	0	0	0	298.128205128205	431.263736263736	580.677655677656	580.677655677656	0	0	0	0	0	0
21	Molecule21	9	18	51	39	6	0.755102040816326	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	3	0.315789473684211	0.36734693877551	0	0	183.042204374349	493.280547125957	0	0	717.206517734072	0	0	0
22	Molecule22	9	18	51	39	6	0.86046511627907	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	3	0.352941176470588	0.418604651162791	0	0	145.827647878213	400.709011956321	0	0	578.939656837532	0	0	0
23	Molecule23	9	18	51	39	6	0.755102040816326	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	3	0.315789473684211	0.36734693877551	0	0	183.042204374349	493.280547125957	0	0	717.206517734072	0	0	0
24	Molecule24	8	132	44	20	12	0.568181818181818	0.96	1.76	1	0.125	1	0	0	0	4	4	0	0	8	4	4	4	0	0.0980392156862745	0.113636363636364	0	0	178.565730531863	189.882237213587	0	0	617.383094098883	316.96387213092	376.016761270766	427.500856885296
25	Molecule25	9	15	52	44	4	0.875	0.19047619047619	1.23809523809524	3	0.333333333333333	1	0	0	0	2	7	0	0	4	0	0	0	4	0.428571428571429	0.5	0	0	137.577127578428	707.626551664419	0	0	528.710289625775	0	0	0
26	Molecule26	12	21	66	54	6	0.852459016393443	0.230769230769231	1.26923076923077	4	0.333333333333333	1	0	0	0	6	6	0	3	3	0	0	3	3	0.25	0.295081967213115	0	0	502.767387809172	739.612785019137	0	410.314310723122	483.154492118954	0	0	648.766274487557
27	Molecule27	8	27	32	18	7	0.782608695652174	0.777777777777778	1.77777777777778	1	0.125	1	0	5	5	7	7	0	0	2	0	0	0	0	0	0	96.0371785077668	130.066590272473	223.227148015383	268.519043864632	0	0	101.091035271918	0	0	0
28	Molecule28	8	27	39	21	9	0.958333333333333	0.782608695652174	1.69565217391304	1	0.125	1	0	2	0	3	7	2	1	5	2	2	0	1	0.193548387096774	0.25	29.1094017094017	0	73.908103008103	213.5663003663	70.7606282606283	41.6512265512266	225.084637584638	101.425507825508	112.842590742591	0
29	Molecule29	8	15	45	35	5	0.942857142857143	0.303030303030303	1.36363636363636	1	0.125	1	0	0	0	3	5	0	0	5	0	0	0	0	0	0	0	0	125.295697567565	280.404206176931	0	0	407.190063619021	0	0	0
30	Molecule30	7	13	40	32	4	0.882352941176471	0.266666666666667	1.33333333333333	1	0.142857142857143	1	0	0	0	2	5	0	0	4	0	0	0	2	0.3	0.352941176470588	0	0	83.3905264789502	289.786402675412	0	0	324.981055420253	0	0	0
31	Molecule31	11	23	62	50	6	0.96	0.25	1.29166666666667	3	0.272727272727273	1	0	0	0	4	7	0	2	4	0	0	4	6	0.6	0.72	0	0	219.502068758922	575.814388464868	0	178.86597949156	437.444843057337	0	0	575.674733281536
32	Molecule32	7	24	26	14	6	0.736842105263158	0.857142857142857	1.85714285714286	1	0.142857142857143	1	0	5	5	7	6	0	0	1	0	0	0	1	0.24	0.315789473684211	92.8940226440226	125.144605394605	214.294488844489	227.626207126207	0	0	52.5427072927073	0	0	0
33	Molecule33	9	15	52	44	4	0.875	0.19047619047619	1.23809523809524	3	0.333333333333333	1	0	0	0	2	7	0	0	4	0	0	0	4	0.428571428571429	0.5	0	0	137.577127578428	707.626551664419	0	0	528.710289625775	0	0	0
34	Molecule34	9	15	52	44	4	0.955555555555556	0.186046511627907	1.2093023255814	4	0.444444444444444	1	0	0	0	2	7	0	0	4	0	0	0	3	0.339622641509434	0.4	0	0	137.721188382219	702.344307638937	0	0	507.977841776536	0	0	0
35	Molecule35	9	21	52	40	6	0.826086956521739	0.315789473684211	1.36842105263158	1	0.111111111111111	1	0	0	0	2	7	0	0	4	2	0	0	2	0.222222222222222	0.260869565217391	0	0	103.106789994392	509.018622965044	0	0	386.883303884016	236.621485020292	0	0
36	Molecule36	12	136	68	44	12	0.875	0.489795918367347	1.38775510204082	5	0.416666666666667	1	0	0	0	4	8	0	0	8	4	4	4	4	0.432835820895522	0.517857142857143	0	0	229.427557271951	686.383591547486	0	0	847.711381849781	469.345080101693	531.572981025246	569.683420022642
37	Molecule37	12	30	69	51	9	1	0.36734693877551	1.40816326530612	1	0.0833333333333333	1	0	0	0	3	9	0	0	6	3	0	0	0	0	0	0	0	131.327074085469	558.556337342229	0	0	514.640258422385	318.470808771492	0	0
38	Molecule38	8	27	32	18	7	0.75	0.777777777777778	1.77777777777778	1	0.125	1	0	5	5	7	7	0	0	2	0	0	0	0	0.387096774193548	0.5	104.3705118411	140.066590272473	238.618173656409	285.586060181648	0	0	107.882410563293	0	0	0
39	Molecule39	9	15	52	44	4	0.954545454545455	0.19047619047619	1.23809523809524	3	0.333333333333333	1	0	0	0	2	7	0	0	4	0	0	0	2	0.230769230769231	0.272727272727273	0	0	120.499392048377	619.478341110453	0	0	463.084965087538	0	0	0
40	Molecule40	9	18	51	39	6	0.925	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	3	0.375	0.45	0	0	134.941053808667	368.727224818973	0	0	533.77931758868	0	0	0
41	Molecule41	9	18	51	39	6	0.86046511627907	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	3	0.352941176470588	0.418604651162791	0	0	150.311987223079	409.115417061514	0	0	592.811170518359	0	0	0
42	Molecule42	5	14	22	14	4	0.736842105263158	0.571428571428571	1.57142857142857	1	0.2	1	0	2	0	2	5	2	1	2	0	0	0	0	0	0	33.251615051615	0	57.3023976023976	180.877489177489	76.3540126540126	43.1023976023976	100.404795204795	0	0	0
43	Molecule43	8	15	45	35	5	0.6875	0.303030303030303	1.36363636363636	1	0.125	1	0	0	0	3	5	0	0	5	0	0	0	0	0	0	0	0	194.231780029321	434.941287471446	0	0	632.431831354733	0	0	0
44	Molecule44	9	18	51	39	6	0.880952380952381	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	5	1	0	0	0	0	0	0	0	143.29530793424	396.715622367343	0	0	470.829068607243	113.521291113129	0	0
45	Molecule45	13	137	74	50	12	0.916666666666667	0.436363636363636	1.34545454545455	6	0.461538461538462	1	0	0	0	4	9	0	0	8	4	4	4	4	0.402777777777778	0.483333333333333	0	0	247.852185912232	835.998362707518	0	0	920.87596065262	508.455230370104	575.888904972475	618.080910583611
46	Molecule46	9	18	51	39	6	0.755102040816326	0.324324324324324	1.37837837837838	1	0.111111111111111	1	0	0	0	3	6	0	0	6	0	0	0	0	0	0	0	0	186.651823039436	499.672513009044	0	0	728.896913471058	0	0	0
47	Molecule47	15	33	84	66	9	1	0.28125	1.3125	4	0.266666666666667	1	0	0	0	6	9	0	3	6	0	0	6	6	0.461538461538462	0.5625	0	0	398.009706517497	886.153962668627	0	323.174385505462	795.24047523833	0	0	1043.57953973176
48	Molecule48	15	45	81	57	12	0.901639344262295	0.436363636363636	1.47272727272727	1	0.0666666666666667	1	0	0	0	9	6	0	3	9	0	0	6	6	0.48	0.59016393442623	0	0	582.779879231754	509.475499084813	0	300.031284856807	1093.61077660549	0	0	901.824846311853
49	Molecule49	9	21	52	40	6	0.904761904761905	0.315789473684211	1.36842105263158	1	0.111111111111111	1	0	0	0	2	7	0	0	4	2	0	0	2	0.24	0.285714285714286	0	0	85.817935888346	435.021281814993	0	0	329.890455549262	206.81550706025	0	0
50	Molecule50	13	25	72	56	8	0.764705882352941	0.307692307692308	1.38461538461538	1	0.0769230769230769	2	0	0	1	4	8	0	0	8	0	0	0	4	0.3	0.352941176470588	0	91.1031285707756	399.497572691588	1017.89311491767	0	0	1514.46899818757	0	0	0
51	Molecule51	11	31	62	46	8	0.956521739130435	0.363636363636364	1.40909090909091	1	0.0909090909090909	1	0	0	0	4	7	0	2	4	2	0	4	4	0.571428571428571	0.652173913043478	0	0	165.328042357177	423.772524215127	0	134.501910749034	326.601445401603	192.730046046011	0	430.277224542494
52	Molecule52	11	34	63	39	12	1	0.585365853658537	1.53658536585366	1	0.0909090909090909	1	0	0	0	3	8	0	0	8	4	4	0	4	0.431372549019608	0.48780487804878	0	0	114.584584653418	427.467229060456	0	0	613.452571979254	352.276939634651	386.840549862884	0
53	Molecule53	10	19	52	44	4	0.957446808510638	0.177777777777778	1.15555555555556	7	0.7	1	0	2	0	2	10	2	1	2	0	0	0	6	0.642857142857143	0.765957446808511	114.90231990232	0	186.163492063492	1383.01798201798	243.780097680098	128.877777777778	315.04126984127	0	0	0
54	Molecule54	11	17	64	56	4	0.931034482758621	0.148148148148148	1.18518518518519	5	0.454545454545455	1	0	0	0	2	9	0	0	4	0	0	0	4	0.352941176470588	0.413793103448276	0	0	176.557618998111	1194.1239333652	0	0	673.878337496655	0	0	0
55	Molecule55	14	36	81	59	11	1	0.372881355932203	1.3728813559322	3	0.214285714285714	1	0	0	0	3	11	0	0	7	4	2	0	5	0.416666666666667	0.508474576271186	0	0	179.477160938307	972.316080820548	0	0	815.890924856574	553.508984670073	305.827754402649	0
